Word,Count,Term 1,Term 2,Term 3,Term 4,Term 5,Term 6,Term 7
loyal,5,allegiant (similar term),doglike (similar term),hard-core (similar term),hardcore (similar term),leal (similar term),liege (similar term),true-blue (similar term)
loyal,5,patriotic,chauvinistic (similar term),flag-waving (similar term),jingoistic (similar term),nationalistic (similar term),ultranationalistic (similar term),superpatriotic (similar term)
loyal,5,firm,truehearted,fast,faithful (similar term),,,
lozal,5,indapamide,Lozal,diuretic drug (generic term),diuretic (generic term),water pill (generic term),,
lucas,5,Lucas,George Lucas,film maker (generic term),filmmaker (generic term),film producer (generic term),movie maker (generic term),screenwriter (generic term)
lucid,5,limpid,luculent,pellucid,crystal clear,perspicuous,clear (similar term),
lucid,5,sane (similar term),,,,,,
lucid,5,coherent,logical,rational (similar term),,,,
lucid,5,crystalline,crystal clear,limpid,pellucid,transparent,clear (similar term),
lucky,5,fortunate (similar term),,,,,,
lucky,5,apotropaic (similar term),hot (similar term),serendipitous (similar term),fortunate (related term),unlucky (antonym),,
lucky,5,golden,favorable,favourable,prosperous,propitious (similar term),,
lucre,5,boodle,bread,cabbage,clams,dinero,dough,gelt
lucre,5,net income,net,net profit,profit,profits,earnings,income (generic term)
luffa,5,loofa,loofah,loufah sponge,fiber (generic term),fibre (generic term),,
luffa,5,dishcloth gourd,sponge gourd,rag gourd,strainer vine,vine (generic term),,
luger,5,Luger,semiautomatic pistol (generic term),semiautomatic (generic term),,,,
luger,5,slider,sledder (generic term),,,,,
lulli,5,Lully,Jean Baptiste Lully,Lulli,Giambattista Lulli,composer (generic term),,
lully,5,Lully,Raymond Lully,Ramon Lully,philosopher (generic term),,,
lully,5,Lully,Jean Baptiste Lully,Lulli,Giambattista Lulli,composer (generic term),,
lumen,5,lm,luminous flux unit (generic term),,,,,
lumen,5,cavity (generic term),bodily cavity (generic term),cavum (generic term),,,,
lumma,5,Armenian monetary unit (generic term),,,,,,
lumpy,5,chunky,unshapely (similar term),,,,,
lumpy,5,uneven (similar term),,,,,,
lunar,5,satellite (related term),,,,,,
lunch,5,luncheon,tiffin,dejeuner,meal (generic term),repast (generic term),,
lunch,5,eat (generic term),,,,,,
lunch,5,feed (generic term),give (generic term),,,,,
lunda,5,Lunda,genus Lunda,bird genus (generic term),,,,
lunge,5,lurch,motion (generic term),movement (generic term),move (generic term),,,
lunge,5,straight thrust,passado,stab (generic term),thrust (generic term),knife thrust (generic term),,
lunge,5,hurl,hurtle,thrust,move (generic term),,,
lungi,5,lungyi,longyi,piece of cloth (generic term),piece of material (generic term),,,
lupin,5,lupine,woody plant (generic term),ligneous plant (generic term),,,,
lupus,5,skin disease (generic term),disease of the skin (generic term),skin disorder (generic term),skin problem (generic term),skin condition (generic term),,
lupus,5,Lupus,constellation (generic term),,,,,
lurch,5,stumble,stagger,gait (generic term),,,,
lurch,5,defeat (generic term),licking (generic term),,,,,
lurch,5,pitch,pitching,motion (generic term),movement (generic term),move (generic term),motility (generic term),
lurch,5,lunge,motion (generic term),movement (generic term),move (generic term),,,
lurch,5,stagger,reel,keel,swag,careen,walk (generic term),
lurch,5,pitch,shift,move (generic term),,,,
lurch,5,travel (generic term),go (generic term),move (generic term),locomote (generic term),,,
lurch,5,prowl,loiter (generic term),lounge (generic term),footle (generic term),lollygag (generic term),loaf (generic term),lallygag (generic term)
lurch,5,skunk,get the better of (generic term),overcome (generic term),defeat (generic term),,,
lurid,5,violent (similar term),,,,,,
lurid,5,shocking,sensational (similar term),,,,,
lurid,5,bright (similar term),,,,,,
lurid,5,colorless (similar term),colourless (similar term),,,,,
lusty,5,lustful,concupiscent,passionate (similar term),,,,
lusty,5,hearty,full-blooded,red-blooded,healthy (similar term),,,
lutra,5,Lutra,genus Lutra,mammal genus (generic term),,,,
luxor,5,Luxor,El-Aksur,city (generic term),metropolis (generic term),urban center (generic term),,
luyia,5,Luyia,Bantu (generic term),Bantoid language (generic term),,,,
luzon,5,Luzon,island (generic term),,,,,
lviii,5,fifty-eight,58,cardinal (similar term),,,,
lxiii,5,sixty-three,63,cardinal (similar term),,,,
lxvii,5,sixty-seven,67,cardinal (similar term),,,,
lxxii,5,seventy-two,72,cardinal (similar term),,,,
lxxiv,5,seventy-four,74,cardinal (similar term),,,,
lxxvi,5,seventy-six,76,cardinal (similar term),,,,
lxxxi,5,eighty-one,81,cardinal (similar term),,,,
lxxxv,5,eighty-five,85,cardinal (similar term),,,,
lycee,5,secondary school,lyceum,Gymnasium,middle school,school (generic term),,
lycia,5,Lycia,geographical area (generic term),geographic area (generic term),geographical region (generic term),geographic region (generic term),,
lydia,5,Lydia,geographical area (generic term),geographic area (generic term),geographical region (generic term),geographic region (generic term),,
lygus,5,Lygus,genus Lygus,arthropod genus (generic term),,,,
lying,5,mendacious,untruthful (similar term),,,,,
lying,5,prevarication,fabrication,falsification (generic term),misrepresentaation (generic term),,,
lymph,5,liquid body substance (generic term),bodily fluid (generic term),body fluid (generic term),humor (generic term),humour (generic term),,
lynch,5,kill (generic term),,,,,,
lyons,5,Lyon,Lyons,city (generic term),metropolis (generic term),urban center (generic term),,
lyons,5,Lyons,Second Council of Lyons,council (generic term),,,,
lyons,5,Lyons,First Council of Lyons,council (generic term),,,,
lyric,5,lyrical,emotional (similar term),,,,,
lyric,5,dramatic (antonym),,,,,,
lyric,5,classical music,classical,serious music (related term),,,,
lyric,5,poem,verse form (related term),,,,,
lyric,5,words,language,text (generic term),textual matter (generic term),,,
lyric,5,lyric poem,poem (generic term),verse form (generic term),,,,
lyric,5,write (generic term),compose (generic term),pen (generic term),indite (generic term),,,
lysin,5,substance (generic term),matter (generic term),,,,,
lysis,5,convalescence (generic term),recuperation (generic term),recovery (generic term),,,,
lysis,5,dissolution (generic term),disintegration (generic term),,,,,
lysol,5,Lysol,cresol (generic term),methyl phenol (generic term),,,,
lyssa,5,rabies,hydrophobia,madness,zoonosis (generic term),zoonotic disease (generic term),,
ma'am,5,dame,madam,lady,gentlewoman,woman (generic term),adult female (generic term),
macao,5,Macao,Macau,possession (generic term),,,,
macau,5,Macao,Macau,possession (generic term),,,,
macaw,5,parrot (generic term),,,,,,
macer,5,macebearer,mace,official (generic term),functionary (generic term),,,
macho,5,butch,masculine (similar term),,,,,
macho,5,male (generic term),male person (generic term),,,,,
macon,5,Macon,city (generic term),metropolis (generic term),urban center (generic term),,,
macon,5,maconnais,wine (generic term),vino (generic term),,,,
macro,5,large (similar term),big (similar term),,,,,
macro,5,macro instruction,instruction (generic term),command (generic term),statement (generic term),program line (generic term),,
madam,5,dame,ma'am,lady,gentlewoman,woman (generic term),adult female (generic term),
madam,5,brothel keeper,businesswoman (generic term),,,,,
madia,5,Madia,genus Madia,asterid dicot genus (generic term),,,,
madly,5,insanely,crazily,dementedly,sanely (antonym),,,
madly,5,insanely,deadly,deucedly,devilishly,,,
mafia,5,Mafia,Maffia,Cosa Nostra,syndicate (generic term),crime syndicate (generic term),mob (generic term),family (generic term)
mafia,5,Mafia,Maffia,Sicilian Mafia,organized crime (generic term),gangland (generic term),gangdom (generic term),
mafia,5,maffia,clique (generic term),coterie (generic term),ingroup (generic term),inner circle (generic term),pack (generic term),camp (generic term)
magha,5,Magh,Magha,Hindu calendar month (generic term),,,,
magic,5,charming,magical,sorcerous,witching,wizard,wizardly,supernatural (similar term)
magic,5,thaumaturgy,supernaturalism (generic term),,,,,
magic,5,magic trick,conjuring trick,trick,legerdemain,conjuration,thaumaturgy,illusion
magma,5,rock (generic term),stone (generic term),,,,,
magus,5,sorcerer (generic term),magician (generic term),wizard (generic term),necromancer (generic term),thaumaturge (generic term),thaumaturgist (generic term),
magus,5,priest (generic term),non-Christian priest (generic term),,,,,
mahan,5,Mahan,Alfred Thayer Mahan,naval officer (generic term),historian (generic term),historiographer (generic term),,
mahdi,5,Mahdi,religious leader (generic term),,,,,
mahoe,5,majagua,mahagua,balibago,purau,Hibiscus tiliaceus,hibiscus (generic term),
mahoe,5,Cuban bast,blue mahoe,majagua,mahagua,Hibiscus elatus,hibiscus (generic term),
maidu,5,Maidu,Penutian (generic term),,,,,
maidu,5,Pujunan,Maidu,Penutian (generic term),,,,
maine,5,Maine,Pine Tree State,ME,American state (generic term),,,
maize,5,corn,Indian corn,Zea mays,cereal (generic term),cereal grass (generic term),,
maize,5,gamboge,lemon,lemon yellow,yellow (generic term),yellowness (generic term),,
major,5,leading (similar term),prima (similar term),star (similar term),starring (similar term),stellar (similar term),minor (antonym),
major,5,minor (antonym),,,,,,
major,5,better (similar term),minor (antonym),,,,,
major,5,minor (antonym),,,,,,
major,5,minor (antonym),,,,,,
major,5,minor (antonym),,,,,,
major,5,minor (antonym),,,,,,
major,5,senior (similar term),,,,,,
major,5,commissioned military officer (generic term),,,,,,
major,5,Major,John Major,John R. Major,John Roy Major,statesman (generic term),solon (generic term),national leader (generic term)
major,5,student (generic term),pupil (generic term),educatee (generic term),,,,
major,5,discipline (generic term),subject (generic term),subject area (generic term),subject field (generic term),field (generic term),field of study (generic term),study (generic term)
major,5,study (generic term),,,,,,
maker,5,shaper,creator (generic term),,,,,
maker,5,Godhead,Lord,Creator,Maker,Divine,God Almighty,Almighty
maker,5,manufacturer,manufacturing business,business (generic term),concern (generic term),business concern (generic term),business organization (generic term),business organisation (generic term)
makin,5,Tarawa,Makin,Tarawa-Makin,amphibious assault (generic term),,,
malar,5,cheekbone,zygomatic bone,zygomatic,malar bone,jugal bone,os zygomaticum,bone (generic term)
malay,5,Malay,Malayan,Asian,Asiatic (related term),,,
malay,5,Malay,Malayan,Asian (generic term),Asiatic (generic term),,,
malay,5,Malay,Western Malayo-Polynesian (generic term),,,,,
maleo,5,Macrocephalon maleo,megapode (generic term),mound bird (generic term),mound-bird (generic term),mound builder (generic term),scrub fowl (generic term),
malik,5,leader (generic term),,,,,,
malmo,5,Malmo,city (generic term),metropolis (generic term),urban center (generic term),port (generic term),,
malta,5,Malta,Republic of Malta,country (generic term),state (generic term),land (generic term),,
malta,5,Malta,island (generic term),,,,,
malto,5,Malto,Dravidian (generic term),,,,,
malto,5,Malto,North Dravidian (generic term),,,,,
malus,5,Malus,genus Malus,rosid dicot genus (generic term),,,,
malva,5,Malva,genus Malva,dilleniid dicot genus (generic term),,,,
mamba,5,elapid (generic term),elapid snake (generic term),,,,,
mambo,5,dancing (generic term),dance (generic term),terpsichore (generic term),saltation (generic term),,,
mambo,5,dance (generic term),trip the light fantastic (generic term),trip the light fantastic toe (generic term),,,,
mamet,5,Mamet,David Mamet,dramatist (generic term),playwright (generic term),,,
mamey,5,mammee apple,mammee,mammee tree,Mammea americana,fruit tree (generic term),,
mamey,5,mammee,mammee apple,edible fruit (generic term),,,,
mamma,5,ma,mama,mom,momma,mommy,mammy,mum
mamma,5,mammary gland,exocrine gland (generic term),exocrine (generic term),duct gland (generic term),,,
mammy,5,nanny (generic term),nursemaid (generic term),nurse (generic term),,,,
mammy,5,ma,mama,mamma,mom,momma,mommy,mum
manat,5,Turkmen monetary unit (generic term),,,,,,
manat,5,Azerbaijani monetary unit (generic term),,,,,,
manda,5,Manda,South-Central Dravidian (generic term),,,,,
mande,5,Mande,Niger-Congo (generic term),,,,,
manes,5,Manes,prophet (generic term),,,,,
manet,5,Manet,Edouard Manet,painter (generic term),,,,
mange,5,animal disease (generic term),,,,,,
mango,5,mango tree,Mangifera indica,fruit tree (generic term),,,,
mango,5,edible fruit (generic term),,,,,,
mangy,5,mangey,worn (similar term),,,,,
mania,5,passion,cacoethes,irrational motive (generic term),,,,
mania,5,manic disorder,affective disorder (generic term),major affective disorder (generic term),emotional disorder (generic term),emotional disturbance (generic term),,
